ID,Name
3622,PC 33:3
3625,ST 29:3;O3
3647,LPI O-33:2
3665,Hex2Cer 29:3;O4
3677,LPG O-32:0;O
3688,LPI O-33:1
3696,PI-Cer 39:2;O2
3806,PI-Cer 32:0;O4
3811,PI-Cer 37:1;O2
3830,Hex2Cer 33:6;O4
3890,PA 40:7
3907,MIPC 40:1;O2
3915,PA O-36:0
3942,Hex2Cer 34:5;O5
3958,PC 33:5
3961,LPI O-31:0
3970,PG 39:8
3971,PI-Cer 36:0;O2
3974,PA 44:4;O
3989,LPI O-32:0
4001,SM 43:3;O4
4005,SHexCer 36:1;O6
4006,SM 45:4;O4
4022,PC 31:1
4044,CerP 30:2;O5
4045,PC O-28:0
4053,LPI O-34:0
4055,PI-Cer 37:0;O2
4080,SHexCer 42:2;O2
4102,CerP 34:2;O6
4103,SM 35:2;O2
4113,Hex2Cer 34:2;O2
4114,SM 42:5;O4
4115,PG 40:3;O
4148,Car 32:6;O2
4167,PI 34:1
4188,HexCer 41:4;O5
4192,SHexCer 41:3;O4
4194,PG 44:8;O
4201,Cer 43:5;O3
4204,PG 30:1
4215,PI 38:4
4225,PG 30:0
4241,PI-Cer 40:1;O2
4246,MIPC 45:1;O3
4250,SM 31:0;O5
4252,PC 33:4
4262,SM 42:4;O4
4263,PG O-43:7
4283,Hex2Cer 35:6;O5
4298,ST 28:1;O2
4307,Hex2Cer 31:2;O2
4311,PI O-39:11
4312,SM 44:3;O4
4323,HexCer 38:6;O2
4337,SM 40:6;O4
4343,SM 45:3;O4
4357,LPS O-30:0;O
4359,PA O-39:7
4372,PK 30:10;O18
4403,MIPC 43:1;O2
4411,PR 25:2;O
4422,PE O-29:0
4441,HexCer 43:2;O4
4451,HexCer 31:2;O5
4456,PA 42:4
4460,LPI O-34:0
4462,SM 40:4;O4
4467,PG 43:6;O
4468,SHexCer 39:1;O4
4491,MIPC 30:6;O4
4522,PG O-45:8
4559,SHexCer 41:2;O2
4561,PG O-44:8
4569,PG O-28:1
4581,SHexCer 35:0;O4
4585,Cer 34:2;O2
4590,PC O-26:0;O
4602,PI-Cer 34:1;O4
4603,HexCer 40:5;O4
4614,PI 42:2;O
4623,PK 30:13;O17
4628,HexCer 35:3;O3
4634,PG O-35:0
4639,SM 44:4;O6
4653,SM 37:0;O3
4659,SM 40:6;O6
4663,PI-Cer 45:5;O3
4679,FA 20:0;O3
4684,PC O-31:3
4702,PIP3 33:8
4734,PA O-37:0
4744,PIP3 34:6;O
4807,SM 34:0;O4
4819,SM 44:4;O4
4831,HexCer 37:5;O2
4832,CerP 43:5;O2
4867,PG 45:7;O
4868,SHexCer 41:2;O4
4879,LPC 24:0
4895,SHexCer 44:4;O2
4896,PI 40:2
4917,SM 38:2;O4
4922,SM 44:2;O4
4946,SHexCer 39:0;O2
4949,SM 45:2;O4
4975,PA O-39:1
4981,PI-Cer 43:5;O2
5005,PG O-43:6
5006,Hex2Cer 35:1;O3
5037,HexCer 36:1;O6
5047,SM 42:5;O6
5056,ST 27:1;O;Hex
5057,DG 32:3
5062,SM 34:1;O2
5066,PC 32:1
5068,HexCer 37:5;O2
5071,PC O-32:0
5106,Car 34:6;O
5107,PC 29:1
5129,PC 32:6;O
5131,PA 42:6
5138,PA 44:7
5172,PS O-39:1
5181,HexCer 39:6;O2
5183,CerP 45:6;O2
5219,SM 42:2;O4
5222,PG O-43:1
5239,Cer 33:1;O2
5248,HexCer 34:2;O2
5250,LPC O-32:3
5253,SM 34:1;O2
5255,SM 38:3;O2
5261,SM 38:1;O2
5287,PC 36:4
5315,HexCer 41:6;O3
5329,PI 40:4
5354,PG O-38:2
5434,PI-Cer 34:0;O4
5458,PC 38:5
5473,PC O-30:1
5478,HexCer 36:6;O2
5487,HexCer 40:6;O4
5489,PA 44:6
5494,SHexCer 42:0;O2
5518,HexCer 36:4;O2
5532,SM 44:4;O3
5533,SM 45:4;O3
5550,Car 32:4;O
5564,PIP3 40:11;O
5597,HexCer 41:6;O3
5603,SM 44:3;O4
5604,PG O-44:2
5607,PG O-45:2
5620,PC O-32:2
5647,PA O-38:0
5652,SHexCer 36:2;O3
5653,PC 39:2;O
5700,HexCer 38:5;O2
5705,SM 38:4;O5
5707,PC O-38:6
5714,HexCer 43:4;O5
5731,HexCer 42:4;O5
5734,SM 44:1;O4
5776,PC O-32:2
5788,HexCer 41:3;O5
5817,Hex2Cer 33:4;O4
5865,FA 27:2
5874,HexCer 41:6;O2
5881,SM 42:0;O3
5883,SM 43:0;O3
5903,SM 40:2;O2
5924,HexCer 39:5;O2
5938,PC 34:4
5952,SM 44:1;O3
5980,PC 43:5;O
5982,SM 45:1;O3
6008,SM 40:3;O4
6010,PG 40:3;O
6016,Hex2Cer 36:1;O2
6043,HexCer 40:6;O2
6058,HexCer 44:6;O5
6075,PC 34:2
6086,HexCer 43:4;O5
6098,PC O-36:4
6104,HexCer 41:3;O5
6138,PC 32:0
6141,PE O-40:5
6172,Cer 43:2;O
6177,CerP 34:2;O5
6185,SM 34:1;O5
6188,CerP 40:2;O5
6193,PG 44:7;O
6194,PI-Cer 45:1;O2
6219,Cer 31:4;O2
6222,Cer 37:2;O
6224,Cer 42:2;O
6226,Cer 44:2;O
6228,LPG 29:0;O
6231,PE O-34:3
6265,Cer 34:1;O2
6268,DG O-33:0
6273,SM 30:2;O5
6310,PC 28:4;O
6313,PC O-34:4
6316,PA 44:5
6331,PC O-40:5
6385,PC O-42:7
6389,HexCer 43:4;O5
6396,DG 32:2
6412,PC 42:6
6428,SM 35:0;O2
6432,PC O-36:4
6437,HexCer 41:3;O4
6441,PC 39:1
6481,PG O-37:0
6483,SM 41:5;O2
6484,Hex2Cer 29:1;O4
6502,HexCer 37:3;O3
6511,SM 41:0;O4
6540,Hex2Cer 31:2;O4
6541,HexCer 42:3;O5
6568,PC O-31:1
6570,HexCer 38:6;O2
6574,PC O-38:5
6579,SM 43:6;O2
6599,NAE 33:0;O3
6608,HexCer 42:4;O5
6626,PA O-39:0
6637,SM 44:1;O4
6639,SM 45:1;O4
6689,PI-Cer 38:5;O3
6707,SM 41:1;O2
6743,LPC O-29:0;O
6744,PC O-31:0
6750,SM 40:1;O2
6758,PI-Cer 36:0;O4
6818,HexCer 41:6;O2
6820,HexCer 41:2;O4
6828,SM 45:2;O4
6830,CoA 22:4;O4
6874,PA O-41:1
6898,PG 39:1
6904,PC O-34:5
6909,PA O-43:2
6929,PC O-35:3
6954,PK 29:9;O18
6957,HexCer 36:5;O2
6959,HexCer 36:2;O3
6961,LPC O-32:1
6974,HexCer 41:2;O5
7007,PC 41:6
7018,HexCer 41:6;O2
7020,PC dO-37:0
7031,PG O-44:1
7045,PG O-45:1
7051,SM 38:0;O2
7056,PA O-45:3
7060,PI-Cer 40:6;O3
7075,HexCer 38:3;O3
7077,PC 34:1
7085,HexCer 40:2;O5
7098,MG O-32:1
7112,PG 39:6
7152,Hex2Cer 33:3;O4
7154,Hex2Cer 34:3;O5
7193,PA O-40:0
7201,PC 39:4
7231,PC O-32:3
7243,HexCer 43:3;O4
7263,SHexCer 42:0;O2
7264,PI-Cer 41:1;O2
7282,PC 43:4;O
7317,SM 42:2;O3
7320,HexCer 43:4;O4
7373,SM 38:0;O4
7379,PI O-39:8
7381,SM 44:0;O4
7384,SM 45:0;O4
7419,PC O-40:6
7440,PC O-34:2
7453,Hex2Cer 35:4;O4
7454,Hex2Cer 36:4;O5
7483,HexCer 40:5;O2
7495,Hex2Cer 32:2;O4
7541,HexCer 43:6;O3
7545,Hex2Cer 35:4;O4
7551,HexCer 37:2;O2
7554,PA O-40:0;O
7563,PC O-42:7
7569,PC O-35:0
7586,PA 42:0
7625,HexCer 43:6;O2
7626,SM 40:3;O3
7634,PC 41:2
7661,SM 42:1;O3
7663,SM 44:0;O3
7664,SM 45:0;O3
7711,PC 34:1
7731,HexCer 41:1;O4
7753,HexCer 42:6;O2
7757,Hex2Cer 34:1;O2
7763,PI 62:0
7765,PI 64:1
7790,SM 40:1;O4
7794,HexCer 44:4;O5
7798,PC 43:3;O
7826,Hex2Cer 37:5;O4
7879,Hex2Cer 42:3;O2
7898,Cer 43:2;O4
7918,Cer 42:2;O4
7937,Cer 34:1;O
7943,PC O-31:1
7954,HexCer 41:4;O2
7976,DG 39:1;O2
7978,PC O-33:0
8002,ACer 44:6;O2
8007,DG 41:3
8014,PC O-38:4
8043,HexCer 39:3;O3
8047,Hex2Cer 31:1;O4
8048,PC O-42:4
8060,SM 43:5;O2
8061,PA 44:4
8062,HexCer 40:4;O4
8070,SHexCer 44:6;O3
8078,LPC O-33:0;O
8079,SM 40:2;O2
8084,HexCer 44:6;O3
8086,Hex2Cer 33:2;O4
8103,SM 45:6;O2
8119,PA O-43:1
8124,SM 44:6;O2
8131,PI 57:1;O
8138,DG O-40:6
8143,DG 42:3
8153,PG O-45:0
8156,PA O-41:0
8173,PI-Cer 40:5;O3
8183,FA 22:0;O3
8190,PC O-35:3
